	id	season	city	date	team1	team2	toss_winner	toss_decision	result	dl_applied	winner	win_by_runs	win_by_wickets	player_of_match	venue	umpire1	umpire2	umpire3	team1Winning	Avg_SR_Difference	Avg_WPR_Difference	Total_MVP_Difference	Prev_Enc_Team1_WinPerc	Total_RF_Difference
206	207	2011	Delhi	2011-04-28	Kolkata Knight Riders	Delhi Daredevils	Delhi Daredevils	field	normal	0	Kolkata Knight Riders	17	0	MK Tiwary	Feroz Shah Kotla	PR Reiffel	RJ Tucker		1	-19.7294458745	-0.134313500824	13	40.0	33.3333333333
207	208	2011	Jaipur	2011-04-29	Mumbai Indians	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	7	J Botha	Sawai Mansingh Stadium	Asad Rauf	SK Tarapore		0	-11.8601884156	0.802426935887	3	60.0	100.0
210	211	2011	Kolkata	2011-04-30	Kings XI Punjab	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	8	Iqbal Abdulla	Eden Gardens	AM Saheba	SL Shastri		0	22.3223900823	-0.768479755582	-11	60.0	0.0
213	214	2011	Mumbai	2011-05-02	Mumbai Indians	Kings XI Punjab	Kings XI Punjab	field	normal	0	Mumbai Indians	23	0	KA Pollard	Wankhede Stadium	HDPK Dharmasena	PR Reiffel		1	-6.60111952028	0.591110969	5	33.3333333333	33.3333333333
216	217	2011	Chennai	2011-05-04	Rajasthan Royals	Chennai Super Kings	Rajasthan Royals	bat	normal	0	Chennai Super Kings	0	8	MEK Hussey	MA Chidambaram Stadium, Chepauk	SS Hazare	RB Tiffin		0	-15.8483700467	-1.15766786448	0	57.1428571429	0.0
220	221	2011	Bangalore	2011-05-06	Royal Challengers Bangalore	Kings XI Punjab	Kings XI Punjab	field	normal	0	Royal Challengers Bangalore	85	0	CH Gayle	M Chinnaswamy Stadium	Aleem Dar	RB Tiffin		1	-5.81525615027	-0.952312717767	-4	50.0	66.6666666667
222	223	2011	Mumbai	2011-05-07	Mumbai Indians	Delhi Daredevils	Delhi Daredevils	field	normal	0	Mumbai Indians	32	0	AT Rayudu	Wankhede Stadium	K Hariharan	SJA Taufel		1	-3.19147792607	2.05946250576	7	57.1428571429	33.3333333333
225	226	2011	Jaipur	2011-05-09	Chennai Super Kings	Rajasthan Royals	Rajasthan Royals	field	normal	0	Chennai Super Kings	63	0	M Vijay	Sawai Mansingh Stadium	K Hariharan	SJA Taufel		1	18.0002809276	-1.08087770916	4	50.0	33.3333333333
227	228	2011	Chandigarh	2011-05-10	Kings XI Punjab	Mumbai Indians	Mumbai Indians	field	normal	0	Kings XI Punjab	76	0	BA Bhatt	Punjab Cricket Association Stadium, Mohali	SK Tarapore	RJ Tucker		1	3.07804384754	-1.44148905603	-8	57.1428571429	-66.6666666667
228	229	2011	Jaipur	2011-05-11	Rajasthan Royals	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	9	S Aravind	Sawai Mansingh Stadium	HDPK Dharmasena	K Hariharan		0	-3.65306834275	-2.26274858959	6	50.0	-66.6666666667
229	230	2011	Chennai	2011-05-12	Chennai Super Kings	Delhi Daredevils	Chennai Super Kings	bat	normal	0	Chennai Super Kings	18	0	MS Dhoni	MA Chidambaram Stadium, Chepauk	AM Saheba	SL Shastri		1	25.934545913	0.89979216277	13	50.0	66.6666666667
233	234	2011	Dharamsala	2011-05-15	Kings XI Punjab	Delhi Daredevils	Delhi Daredevils	field	normal	0	Kings XI Punjab	29	0	PP Chawla	Himachal Pradesh Cricket Association Stadium	Asad Rauf	SL Shastri		1	5.04098560714	0.057039773609	4	60.0	33.3333333333
236	237	2011	Dharamsala	2011-05-17	Kings XI Punjab	Royal Challengers Bangalore	Kings XI Punjab	bat	normal	0	Kings XI Punjab	111	0	AC Gilchrist	Himachal Pradesh Cricket Association Stadium	Asad Rauf	AM Saheba		1	-11.0788240033	-2.73053709959	1	42.8571428571	-33.3333333333
239	240	2011	Mumbai	2011-05-20	Mumbai Indians	Rajasthan Royals	Mumbai Indians	bat	normal	0	Rajasthan Royals	0	10	SR Watson	Wankhede Stadium	RE Koertzen	PR Reiffel		0	-7.04577005038	2.37784495462	6	50.0	66.6666666667
242	243	2011	Bangalore	2011-05-22	Chennai Super Kings	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	8	CH Gayle	M Chinnaswamy Stadium	K Hariharan	RE Koertzen		0	10.0039187366	0.633708626192	11	50.0	33.3333333333
