	id	season	city	date	team1	team2	toss_winner	toss_decision	result	dl_applied	winner	win_by_runs	win_by_wickets	player_of_match	venue	umpire1	umpire2	umpire3	team1Winning	Avg_SR_Difference	Avg_WPR_Difference	Total_MVP_Difference	Prev_Enc_Team1_WinPerc	Total_RF_Difference
0	1	2008	Bangalore	2008-04-18	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Kolkata Knight Riders	140	0	BB McCullum	M Chinnaswamy Stadium	Asad Rauf	RE Koertzen		1		0.0	0	0.0	0.0
1	2	2008	Chandigarh	2008-04-19	Chennai Super Kings	Kings XI Punjab	Chennai Super Kings	bat	normal	0	Chennai Super Kings	33	0	MEK Hussey	Punjab Cricket Association Stadium, Mohali	MR Benson	SL Shastri		1		0.0	0	0.0	0.0
2	3	2008	Delhi	2008-04-19	Rajasthan Royals	Delhi Daredevils	Rajasthan Royals	bat	normal	0	Delhi Daredevils	0	9	MF Maharoof	Feroz Shah Kotla	Aleem Dar	GA Pratapkumar		0		0.0	0	0.0	0.0
3	4	2008	Mumbai	2008-04-20	Mumbai Indians	Royal Challengers Bangalore	Mumbai Indians	bat	normal	0	Royal Challengers Bangalore	0	5	MV Boucher	Wankhede Stadium	SJ Davis	DJ Harper		0		-1.13866396761	0	0.0	0.0
5	6	2008	Jaipur	2008-04-21	Kings XI Punjab	Rajasthan Royals	Kings XI Punjab	bat	normal	0	Rajasthan Royals	0	6	SR Watson	Sawai Mansingh Stadium	Aleem Dar	RB Tiffin		0	55.665974892	1.41478558174	0	0.0	0.0
7	8	2008	Chennai	2008-04-23	Chennai Super Kings	Mumbai Indians	Mumbai Indians	field	normal	0	Chennai Super Kings	6	0	ML Hayden	MA Chidambaram Stadium, Chepauk	DJ Harper	GA Pratapkumar		1	6.13573446391	-1.59136812012	1	0.0	100.0
9	10	2008	Chandigarh	2008-04-25	Kings XI Punjab	Mumbai Indians	Mumbai Indians	field	normal	0	Kings XI Punjab	66	0	KC Sangakkara	Punjab Cricket Association Stadium, Mohali	Aleem Dar	AM Saheba		1	4.66684430088	-0.601904418887	0	0.0	0.0
10	11	2008	Bangalore	2008-04-26	Royal Challengers Bangalore	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	7	SR Watson	M Chinnaswamy Stadium	MR Benson	IL Howell		0	25.3887426791	-0.0158426073519	0	0.0	0.0
11	12	2008	Chennai	2008-04-26	Kolkata Knight Riders	Chennai Super Kings	Kolkata Knight Riders	bat	normal	0	Chennai Super Kings	0	9	JDP Oram	MA Chidambaram Stadium, Chepauk	BF Bowden	AV Jayaprakash		0	-28.4386175419	8.23086064263	0	0.0	0.0
13	14	2008	Chandigarh	2008-04-27	Delhi Daredevils	Kings XI Punjab	Delhi Daredevils	bat	normal	0	Kings XI Punjab	0	4	SM Katich	Punjab Cricket Association Stadium, Mohali	RE Koertzen	I Shivram		0	41.2217305047	1.3047197756	0	0.0	66.6666666667
14	15	2008	Bangalore	2008-04-28	Chennai Super Kings	Royal Challengers Bangalore	Chennai Super Kings	bat	normal	0	Chennai Super Kings	13	0	MS Dhoni	M Chinnaswamy Stadium	BR Doctrove	RB Tiffin		1	37.2330688522	0.436102873845	2	0.0	66.6666666667
15	16	2008	Kolkata	2008-04-29	Kolkata Knight Riders	Mumbai Indians	Kolkata Knight Riders	bat	normal	0	Mumbai Indians	0	7	ST Jayasuriya	Eden Gardens	BF Bowden	AV Jayaprakash		0	-13.5822482325	1.83384499879	1	0.0	50.0
16	17	2008	Delhi	2008-04-30	Delhi Daredevils	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Delhi Daredevils	10	0	GD McGrath	Feroz Shah Kotla	Aleem Dar	I Shivram		1	15.293648499	2.0581015763	-1	0.0	16.6666666667
18	19	2008	Jaipur	2008-05-01	Rajasthan Royals	Kolkata Knight Riders	Rajasthan Royals	bat	normal	0	Rajasthan Royals	45	0	SA Asnodkar	Sawai Mansingh Stadium	RE Koertzen	GA Pratapkumar		1	40.069299595	-1.38255868728	2	0.0	33.3333333333
19	20	2008	Chennai	2008-05-02	Chennai Super Kings	Delhi Daredevils	Chennai Super Kings	bat	normal	0	Delhi Daredevils	0	8	V Sehwag	MA Chidambaram Stadium, Chepauk	BF Bowden	K Hariharan		0	-6.5293040293	0.116417077883	0	0.0	33.3333333333
21	22	2008	Chandigarh	2008-05-03	Kings XI Punjab	Kolkata Knight Riders	Kings XI Punjab	bat	normal	0	Kings XI Punjab	9	0	IK Pathan	Punjab Cricket Association Stadium, Mohali	DJ Harper	I Shivram		1	60.2760898651	0.380394874901	1	0.0	66.6666666667
22	23	2008	Mumbai	2008-05-04	Mumbai Indians	Delhi Daredevils	Delhi Daredevils	field	normal	0	Mumbai Indians	29	0	SM Pollock	Dr DY Patil Sports Academy	IL Howell	RE Koertzen		1	-36.7595772672	-0.140660076457	-1	0.0	-33.3333333333
23	24	2008	Jaipur	2008-05-04	Chennai Super Kings	Rajasthan Royals	Chennai Super Kings	bat	normal	0	Rajasthan Royals	0	8	Sohail Tanvir	Sawai Mansingh Stadium	Asad Rauf	AV Jayaprakash		0	-3.74088629822	-1.54554838932	-2	0.0	-33.3333333333
24	25	2008	Bangalore	2008-05-05	Royal Challengers Bangalore	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kings XI Punjab	0	6	S Sreesanth	M Chinnaswamy Stadium	SJ Davis	BR Doctrove		0	-29.9194819642	-1.73246856232	-1	0.0	-100.0
26	27	2008	Mumbai	2008-05-07	Rajasthan Royals	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	7	A Nehra	Dr DY Patil Sports Academy	DJ Harper	RE Koertzen		0	-1.15086917071	1.6814558121	2	0.0	33.3333333333
27	28	2008	Delhi	2008-05-08	Delhi Daredevils	Chennai Super Kings	Chennai Super Kings	field	normal	0	Chennai Super Kings	0	4	MS Dhoni	Feroz Shah Kotla	Aleem Dar	RB Tiffin		0	4.15734462013	0.525676954421	1	100.0	33.3333333333
28	29	2008	Kolkata	2008-05-08	Kolkata Knight Riders	Royal Challengers Bangalore	Kolkata Knight Riders	bat	normal	0	Kolkata Knight Riders	5	0	SC Ganguly	Eden Gardens	Asad Rauf	IL Howell		1	-11.7209574481	2.15470780437	-1	100.0	0.0
30	31	2008	Bangalore	2008-05-28	Royal Challengers Bangalore	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	9	CRD Fernando	M Chinnaswamy Stadium	BF Bowden	AV Jayaprakash		0	-12.7950798168	-3.12374270186	-2	100.0	-100.0
31	32	2008	Chennai	2008-05-10	Chennai Super Kings	Kings XI Punjab	Kings XI Punjab	field	normal	0	Chennai Super Kings	18	0	L Balaji	MA Chidambaram Stadium, Chepauk	AV Jayaprakash	BG Jerling		1	15.0908537952	-2.4204660895	0	100.0	-66.6666666667
33	34	2008	Jaipur	2008-05-11	Delhi Daredevils	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	3	SR Watson	Sawai Mansingh Stadium	SJ Davis	RE Koertzen		0	16.9657408915	1.29244255759	1	100.0	-33.3333333333
34	35	2008	Chandigarh	2008-05-12	Royal Challengers Bangalore	Kings XI Punjab	Royal Challengers Bangalore	bat	normal	0	Kings XI Punjab	0	9	SE Marsh	Punjab Cricket Association Stadium, Mohali	BR Doctrove	I Shivram		0	-39.2549793267	-1.53313985539	-1	0.0	-66.6666666667
35	36	2008	Kolkata	2008-05-13	Kolkata Knight Riders	Delhi Daredevils	Kolkata Knight Riders	bat	normal	0	Kolkata Knight Riders	23	0	Shoaib Akhtar	Eden Gardens	Asad Rauf	IL Howell		1	-30.4504481801	-0.948933181311	-2	0.0	33.3333333333
36	37	2008	Mumbai	2008-05-14	Chennai Super Kings	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	9	ST Jayasuriya	Wankhede Stadium	BR Doctrove	AM Saheba		0	9.39776834897	1.08737952183	0	100.0	-33.3333333333
37	38	2008	Chandigarh	2008-05-28	Kings XI Punjab	Rajasthan Royals	Rajasthan Royals	field	normal	0	Kings XI Punjab	41	0	SE Marsh	Punjab Cricket Association Stadium, Mohali	SJ Davis	K Hariharan		1	5.96513869195	-0.151567127206	0	0.0	0.0
39	40	2008	Mumbai	2008-05-16	Kolkata Knight Riders	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	8	SM Pollock	Wankhede Stadium	BR Doctrove	DJ Harper		0	-20.2974246555	10.3285660292	-2	0.0	-33.3333333333
41	42	2008	Jaipur	2008-05-17	Rajasthan Royals	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Rajasthan Royals	65	0	GC Smith	Sawai Mansingh Stadium	BF Bowden	SL Shastri		1	-1.2293779055	2.96820493151	5	100.0	33.3333333333
44	45	2008	Bangalore	2008-05-19	Royal Challengers Bangalore	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	5	SP Goswami	M Chinnaswamy Stadium	SJ Davis	GA Pratapkumar		0	-19.0021141451	-1.36768803084	-3	0.0	0.0
45	46	2008	Kolkata	2008-05-20	Kolkata Knight Riders	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	6	YK Pathan	Eden Gardens	BG Jerling	RE Koertzen		0	-9.50132638235	-1.69975931746	-5	0.0	0.0
46	47	2008	Mumbai	2008-05-21	Kings XI Punjab	Mumbai Indians	Mumbai Indians	field	normal	0	Kings XI Punjab	1	0	SE Marsh	Wankhede Stadium	BF Bowden	GA Pratapkumar		1	17.7798915024	1.96877640429	-2	100.0	-33.3333333333
47	48	2008	Chennai	2008-05-21	Royal Challengers Bangalore	Chennai Super Kings	Royal Challengers Bangalore	bat	normal	0	Royal Challengers Bangalore	14	0	A Kumble	MA Chidambaram Stadium, Chepauk	DJ Harper	I Shivram		1	-3.99600528658	-1.93824504139	-1	0.0	-66.6666666667
49	50	2008	Delhi	2008-05-24	Mumbai Indians	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	5	KD Karthik	Feroz Shah Kotla	BF Bowden	K Hariharan		0	0.732454348609	0.081078350953	2	100.0	33.3333333333
50	51	2008	Chennai	2008-05-24	Rajasthan Royals	Chennai Super Kings	Rajasthan Royals	bat	normal	0	Rajasthan Royals	10	0	JA Morkel	MA Chidambaram Stadium, Chepauk	DJ Harper	SL Shastri		1	17.6588787476	1.55459991837	1	100.0	33.3333333333
52	53	2008	Kolkata	2008-05-25	Kings XI Punjab	Kolkata Knight Riders	Kings XI Punjab	bat	normal	0	Kolkata Knight Riders	0	3	Umar Gul	Eden Gardens	SJ Davis	I Shivram		0	33.7170996586	0.283611407841	5	100.0	66.6666666667
53	54	2008	Jaipur	2008-05-26	Mumbai Indians	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	5	Sohail Tanvir	Sawai Mansingh Stadium	BF Bowden	K Hariharan		0	-19.4363943279	1.63527059033	0	100.0	-66.6666666667
55	56	2008	Mumbai	2008-05-30	Rajasthan Royals	Delhi Daredevils	Delhi Daredevils	field	normal	0	Rajasthan Royals	105	0	SR Watson	Wankhede Stadium	BF Bowden	RE Koertzen		1	-10.5767954316	1.42681976339	4	50.0	33.3333333333
56	57	2008	Mumbai	2008-05-31	Kings XI Punjab	Chennai Super Kings	Kings XI Punjab	bat	normal	0	Chennai Super Kings	0	9	M Ntini	Wankhede Stadium	Asad Rauf	DJ Harper		0	18.6292130714	0.586355569751	4	0.0	66.6666666667
57	58	2008	Mumbai	2008-06-01	Chennai Super Kings	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	3	YK Pathan	Dr DY Patil Sports Academy	BF Bowden	RE Koertzen		0	-22.8194097662	-1.69800170974	-3	0.0	-66.6666666667
58	59	2009	Cape Town	2009-04-18	Mumbai Indians	Chennai Super Kings	Chennai Super Kings	field	normal	0	Mumbai Indians	19	0	SR Tendulkar	Newlands	BR Doctrove	K Hariharan		1	-11.5462287889	1.46177958429	-2	50.0	0.0
59	60	2009	Cape Town	2009-04-18	Royal Challengers Bangalore	Rajasthan Royals	Royal Challengers Bangalore	bat	normal	0	Royal Challengers Bangalore	75	0	R Dravid	Newlands	BR Doctrove	RB Tiffin		1	3.09235285425	-0.787233797196	-3	0.0	0.0
62	63	2009	Port Elizabeth	2009-04-20	Chennai Super Kings	Royal Challengers Bangalore	Chennai Super Kings	bat	normal	0	Chennai Super Kings	92	0	M Muralitharan	St George's Park	BG Jerling	SJA Taufel		1	2.40116741292	1.41158588874	3	50.0	-100.0
65	66	2009	Durban	2009-04-23	Delhi Daredevils	Chennai Super Kings	Delhi Daredevils	bat	normal	0	Delhi Daredevils	9	0	AB de Villiers	Kingsmead	BR Doctrove	SJA Taufel		1	2.75078565469	-2.59402349034	-3	50.0	-50.0
67	68	2009	Durban	2009-04-24	Royal Challengers Bangalore	Kings XI Punjab	Royal Challengers Bangalore	bat	normal	0	Kings XI Punjab	0	7	RS Bopara	Kingsmead	BR Doctrove	TH Wijewardene		0	-37.9843138492	-0.843256940118	0	0.0	50.0
69	70	2009	Port Elizabeth	2009-04-26	Royal Challengers Bangalore	Delhi Daredevils	Royal Challengers Bangalore	bat	normal	0	Delhi Daredevils	0	6	TM Dilshan	St George's Park	S Asnani	BG Jerling		0	-25.5236282968	-1.31034405279	-2	0.0	-66.6666666667
70	71	2009	Cape Town	2009-04-26	Kings XI Punjab	Rajasthan Royals	Kings XI Punjab	bat	normal	0	Kings XI Punjab	27	0	KC Sangakkara	Newlands	M Erasmus	K Hariharan		1	6.32182802111	1.10258481346	-1	50.0	100.0
72	73	2009	Port Elizabeth	2009-04-27	Mumbai Indians	Kolkata Knight Riders	Mumbai Indians	bat	normal	0	Mumbai Indians	92	0	SR Tendulkar	St George's Park	BG Jerling	RB Tiffin		1	17.6657834651	3.93884086614	1	100.0	100.0
73	74	2009	Centurion	2009-04-28	Delhi Daredevils	Rajasthan Royals	Delhi Daredevils	bat	normal	0	Rajasthan Royals	0	5	YK Pathan	SuperSport Park	GAV Baxter	RE Koertzen		0	27.39556712	-1.55325605729	1	33.3333333333	100.0
74	75	2009	Durban	2009-04-29	Kolkata Knight Riders	Royal Challengers Bangalore	Kolkata Knight Riders	bat	normal	0	Royal Challengers Bangalore	0	5	MV Boucher	Kingsmead	MR Benson	TH Wijewardene		0	15.0992399219	-0.409647379058	-1	100.0	0.0
75	76	2009	Durban	2009-04-29	Kings XI Punjab	Mumbai Indians	Kings XI Punjab	bat	normal	0	Kings XI Punjab	3	0	KC Sangakkara	Kingsmead	MR Benson	SL Shastri		1	-0.0706923524731	-3.49200755459	0	100.0	0.0
77	78	2009	Centurion	2009-04-30	Chennai Super Kings	Rajasthan Royals	Rajasthan Royals	field	normal	0	Chennai Super Kings	38	0	SK Raina	SuperSport Park	GAV Baxter	RE Koertzen		1	20.1086024243	-1.8091303666	2	0.0	0.0
78	79	2009	East London	2009-05-01	Mumbai Indians	Kolkata Knight Riders	Mumbai Indians	bat	normal	0	Mumbai Indians	9	0	JP Duminy	Buffalo Park	M Erasmus	SK Tarapore		1	28.1560951532	3.62490963476	2	100.0	66.6666666667
79	80	2009	Durban	2009-05-01	Royal Challengers Bangalore	Kings XI Punjab	Royal Challengers Bangalore	bat	normal	0	Royal Challengers Bangalore	8	0	Yuvraj Singh	Kingsmead	HDPK Dharmasena	S Ravi		1	-31.8540127076	-3.60450511306	-1	0.0	-66.6666666667
81	82	2009	Johannesburg	2009-05-02	Chennai Super Kings	Delhi Daredevils	Delhi Daredevils	field	normal	0	Chennai Super Kings	18	0	SB Jakati	New Wanderers Stadium	DJ Harper	RE Koertzen		1	13.4825939216	-3.69777748215	4	33.3333333333	0.0
82	83	2009	Port Elizabeth	2009-05-03	Kolkata Knight Riders	Kings XI Punjab	Kolkata Knight Riders	bat	normal	0	Kings XI Punjab	0	6	DPMD Jayawardene	St George's Park	S Asnani	MR Benson		0	8.54540750108	-2.7534901225	-4	50.0	-66.6666666667
83	84	2009	Johannesburg	2009-05-03	Mumbai Indians	Royal Challengers Bangalore	Mumbai Indians	bat	normal	0	Royal Challengers Bangalore	0	9	JH Kallis	New Wanderers Stadium	RE Koertzen	TH Wijewardene		0	4.05645634353	5.29013474883	4	50.0	0.0
85	86	2009	Durban	2009-05-05	Rajasthan Royals	Kings XI Punjab	Kings XI Punjab	field	normal	0	Rajasthan Royals	78	0	GC Smith	Kingsmead	SS Hazare	IL Howell		1	14.6133696864	-3.5541478746	-4	33.3333333333	-33.3333333333
86	87	2009	Durban	2009-05-05	Kolkata Knight Riders	Delhi Daredevils	Kolkata Knight Riders	bat	normal	0	Delhi Daredevils	0	9	G Gambhir	Kingsmead	GAV Baxter	IL Howell		0	2.80912481538	-0.869421275489	-1	100.0	-33.3333333333
88	89	2009	Centurion	2009-05-07	Royal Challengers Bangalore	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	7	A Singh	SuperSport Park	K Hariharan	DJ Harper		0	-35.7446340185	-2.56891736372	0	33.3333333333	33.3333333333
90	91	2009	East London	2009-05-08	Mumbai Indians	Delhi Daredevils	Mumbai Indians	bat	normal	0	Delhi Daredevils	0	7	A Nehra	Buffalo Park	M Erasmus	SK Tarapore		0	-25.7230406598	1.65686613443	-2	50.0	0.0
92	93	2009	Kimberley	2009-05-09	Rajasthan Royals	Chennai Super Kings	Rajasthan Royals	bat	normal	0	Chennai Super Kings	0	7	S Badrinath	De Beers Diamond Oval	GAV Baxter	HDPK Dharmasena		0	5.50260672771	3.12957626895	0	75.0	0.0
93	94	2009	Port Elizabeth	2009-05-10	Mumbai Indians	Royal Challengers Bangalore	Mumbai Indians	bat	normal	0	Mumbai Indians	16	0	JP Duminy	St George's Park	BR Doctrove	BG Jerling		1	-5.32368498309	2.40571568453	0	33.3333333333	-33.3333333333
94	95	2009	Johannesburg	2009-05-10	Kolkata Knight Riders	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	7	A Mishra	New Wanderers Stadium	SL Shastri	RB Tiffin		0	-7.10493749832	-1.93733387126	-4	50.0	-66.6666666667
96	97	2009	Centurion	2009-05-12	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	6	LRPL Taylor	SuperSport Park	M Erasmus	SS Hazare		0	-28.5347620885	-0.352939565592	-3	66.6666666667	-33.3333333333
97	98	2009	Centurion	2009-05-12	Kings XI Punjab	Mumbai Indians	Kings XI Punjab	bat	normal	0	Mumbai Indians	0	8	Harbhajan Singh	SuperSport Park	SS Hazare	RE Koertzen		0	4.68850446636	-0.350086370765	1	100.0	0.0
99	100	2009	Durban	2009-05-14	Chennai Super Kings	Royal Challengers Bangalore	Chennai Super Kings	bat	normal	0	Royal Challengers Bangalore	0	2	LRPL Taylor	Kingsmead	BR Doctrove	DJ Harper		0	3.65539358926	3.81913944847	4	66.6666666667	66.6666666667
100	101	2009	Durban	2009-05-14	Rajasthan Royals	Mumbai Indians	Rajasthan Royals	bat	normal	0	Rajasthan Royals	2	0	SK Warne	Kingsmead	BR Doctrove	DJ Harper		1	16.33249848	-1.65364664322	-2	50.0	0.0
101	102	2009	Bloemfontein	2009-05-15	Delhi Daredevils	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kings XI Punjab	0	6	B Lee	OUTsurance Oval	HDPK Dharmasena	IL Howell		0	3.48863882073	0.342183169078	1	0.0	66.6666666667
102	103	2009	Port Elizabeth	2009-05-16	Mumbai Indians	Chennai Super Kings	Mumbai Indians	bat	normal	0	Chennai Super Kings	0	7	ML Hayden	St George's Park	SK Tarapore	SJA Taufel		0	-9.00948770699	0.573595147827	-2	66.6666666667	0.0
105	106	2009	Bloemfontein	2009-05-17	Delhi Daredevils	Rajasthan Royals	Delhi Daredevils	bat	normal	0	Delhi Daredevils	14	0	AB de Villiers	OUTsurance Oval	SS Hazare	IL Howell		1	23.8551400393	-1.85115777986	2	25.0	0.0
106	107	2009	Centurion	2009-05-18	Chennai Super Kings	Kolkata Knight Riders	Chennai Super Kings	bat	normal	0	Kolkata Knight Riders	0	7	BJ Hodge	SuperSport Park	SJA Taufel	RB Tiffin		0	3.25877680902	2.74335412893	5	100.0	66.6666666667
107	108	2009	Johannesburg	2009-05-19	Delhi Daredevils	Royal Challengers Bangalore	Delhi Daredevils	bat	normal	0	Royal Challengers Bangalore	0	7	JH Kallis	New Wanderers Stadium	IL Howell	RB Tiffin		0	8.55968550313	0.907957949141	1	100.0	0.0
108	109	2009	Durban	2009-05-20	Rajasthan Royals	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	4	LR Shukla	Kingsmead	BG Jerling	SJA Taufel		0	-2.3475911283	2.88521722324	3	100.0	0.0
109	110	2009	Durban	2009-05-20	Chennai Super Kings	Kings XI Punjab	Chennai Super Kings	bat	normal	0	Chennai Super Kings	24	0	M Muralitharan	Kingsmead	BG Jerling	SJA Taufel		1	-3.77438961301	-1.16360127289	-1	100.0	0.0
110	111	2009	Centurion	2009-05-21	Mumbai Indians	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	4	V Sehwag	SuperSport Park	IL Howell	S Ravi		0	-11.2351217547	-0.25775727996	0	33.3333333333	0.0
113	114	2009	Johannesburg	2009-05-23	Chennai Super Kings	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	6	MK Pandey	New Wanderers Stadium	RE Koertzen	SJA Taufel		0	37.1111754637	1.2745844905	6	50.0	-33.3333333333
116	117	2010	Mumbai	2010-03-13	Mumbai Indians	Rajasthan Royals	Mumbai Indians	bat	normal	0	Mumbai Indians	4	0	YK Pathan	Brabourne Stadium	RE Koertzen	RB Tiffin		1	1.77264904199	0.192904707818	-1	33.3333333333	0.0
117	118	2010	Chandigarh	2010-03-13	Kings XI Punjab	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	5	G Gambhir	Punjab Cricket Association Stadium, Mohali	BR Doctrove	S Ravi		0	-14.7177261702	0.517497163492	-1	100.0	0.0
118	119	2010	Kolkata	2010-03-14	Royal Challengers Bangalore	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	7	MK Tiwary	Eden Gardens	HDPK Dharmasena	AM Saheba		0	-9.38386603247	-2.91990567171	4	50.0	0.0
